season,week,celebrity_name,judge_score,est_vote_share,est_votes_count,Judge Rank,Fan Rank,Rank Sum,Place (Rank System),Judge Pct,Fan Pct,Total Pct,Place (Percent System)
1,1,John O'Hurley,20.0,0.16526262517266097,2313676,1.0,5.0,6.0,3,0.1834862385321101,0.16526262517266097,0.3487488637047711,3
1,1,Kelly Monaco,13.0,0.16719415250083103,2340718,6.0,3.0,9.0,5,0.11926605504587157,0.16719415250083103,0.2864602075467026,6
1,1,Evander Holyfield,18.0,0.16510882760974563,2311523,4.0,6.0,10.0,6,0.1651376146788991,0.16510882760974563,0.33024644228864475,5
1,1,Rachel Hunter,20.0,0.16821623680529707,2355027,1.0,1.0,2.0,1,0.1834862385321101,0.16821623680529707,0.35170247533740717,1
1,1,Joey McIntyre,20.0,0.16766386083248336,2347294,1.0,2.0,3.0,2,0.1834862385321101,0.16766386083248336,0.35115009936459346,2
1,1,Trista Sutter,18.0,0.16655429707898242,2331760,4.0,4.0,8.0,4,0.1651376146788991,0.16655429707898242,0.3316919117578815,4
1,2,John O'Hurley,26.0,0.16849673704622403,2358954,1.0,4.0,5.0,3,0.21487603305785125,0.16849673704622403,0.3833727701040753,1
1,2,Kelly Monaco,17.0,0.17384093762213007,2433773,5.0,3.0,8.0,4,0.14049586776859505,0.17384093762213007,0.3143368053907251,4
1,2,Evander Holyfield,14.0,0.16817323468249049,2354425,6.0,5.0,11.0,6,0.11570247933884298,0.16817323468249049,0.2838757140213335,6
1,2,Rachel Hunter,24.0,0.17574527176532476,2460433,2.0,2.0,4.0,2,0.19834710743801653,0.17574527176532476,0.37409237920334126,2
1,2,Joey McIntyre,21.0,0.17968945723650137,2515652,3.0,1.0,4.0,1,0.17355371900826447,0.17968945723650137,0.35324317624476587,3
1,2,Trista Sutter,19.0,0.13405436164732915,1876761,4.0,6.0,10.0,5,0.15702479338842976,0.13405436164732915,0.2910791550357589,5
1,3,John O'Hurley,24.0,0.19647188278408662,2750606,2.0,4.0,6.0,3,0.22641509433962265,0.19647188278408662,0.42288697712370926,2
1,3,Kelly Monaco,21.0,0.2003832072128077,2805364,4.0,3.0,7.0,4,0.19811320754716982,0.2003832072128077,0.39849641475997755,4
1,3,Evander Holyfield,13.0,0.1920041729271142,2688058,5.0,5.0,10.0,5,0.12264150943396226,0.1920041729271142,0.3146456823610765,5
1,3,Rachel Hunter,26.0,0.20287541465431663,2840255,1.0,2.0,3.0,1,0.24528301886792453,0.20287541465431663,0.44815843352224116,1
1,3,Joey McIntyre,22.0,0.20826532242167506,2915714,3.0,1.0,4.0,2,0.20754716981132076,0.20826532242167506,0.4158124922329958,3
1,4,John O'Hurley,21.0,0.2508299780338064,3511619,3.0,3.0,6.0,3,0.22826086956521738,0.2508299780338064,0.47909084759902376,4
1,4,Kelly Monaco,26.0,0.27392208793653666,3834909,1.0,1.0,2.0,1,0.2826086956521739,0.27392208793653666,0.5565307835887106,1
1,4,Rachel Hunter,25.0,0.21110999123123608,2955539,2.0,4.0,6.0,4,0.2717391304347826,0.21110999123123608,0.4828491216660187,2
1,4,Joey McIntyre,20.0,0.26413794279842095,3697931,4.0,2.0,6.0,2,0.21739130434782608,0.26413794279842095,0.481529247146247,3
1,5,John O'Hurley,27.0,0.3204377726810712,4486128,1.0,3.0,4.0,2,0.3698630136986301,0.3204377726810712,0.6903007863797013,1
1,5,Kelly Monaco,23.5,0.34442601853208804,4821964,2.0,1.0,3.0,1,0.3219178082191781,0.34442601853208804,0.6663438267512661,2
1,5,Joey McIntyre,22.5,0.3351362087868403,4691906,3.0,2.0,5.0,3,0.3082191780821918,0.3351362087868403,0.643355386869032,3
1,6,John O'Hurley,27.0,0.48447830103854284,6782696,2.0,2.0,4.0,2,0.4954128440366973,0.48447830103854284,0.9798911450752401,2
1,6,Kelly Monaco,27.5,0.5155216989614566,7217303,1.0,1.0,2.0,1,0.5045871559633027,0.5155216989614566,1.0201088549247594,1
2,1,Tatum O'Neal,23.0,0.10013783244114538,1401929,2.0,9.0,11.0,9,0.11794871794871795,0.10013783244114538,0.21808655038986333,3
2,1,Tia Carrere,20.0,0.10362209174286735,1450709,6.0,5.0,11.0,8,0.10256410256410256,0.10362209174286735,0.2061861943069699,6
2,1,George Hamilton,18.0,0.10476848998591747,1466758,8.0,3.0,11.0,7,0.09230769230769231,0.10476848998591747,0.1970761822936098,8
2,1,Lisa Rinna,19.0,0.10559409692523836,1478317,7.0,2.0,9.0,2,0.09743589743589744,0.10559409692523836,0.20302999436113578,7
2,1,Stacy Keibler,22.0,0.1024015045518718,1433621,4.0,6.0,10.0,4,0.11282051282051282,0.1024015045518718,0.2152220173723846,4
2,1,Jerry Rice,21.0,0.10406762188304493,1456946,5.0,4.0,9.0,3,0.1076923076923077,0.10406762188304493,0.2117599295753526,5
2,1,Giselle Fernandez,23.0,0.10086716165204201,1412140,2.0,8.0,10.0,5,0.11794871794871795,0.10086716165204201,0.21881587960075996,2
2,1,Master P,12.0,0.10704847063818596,1498678,10.0,1.0,11.0,6,0.06153846153846154,0.10704847063818596,0.1685869321766475,9
2,1,Drew Lachey,24.0,0.1009487112669237,1413281,1.0,7.0,8.0,1,0.12307692307692308,0.1009487112669237,0.22402563434384679,1
2,1,Kenny Mayne,13.0,0.07054401891276327,987616,9.0,10.0,19.0,10,0.06666666666666667,0.07054401891276327,0.13721068557942995,10
2,2,Tatum O'Neal,17.0,0.09517792125133494,1332490,8.0,9.0,17.0,9,0.085,0.09517792125133494,0.18017792125133494,9
2,2,Tia Carrere,22.0,0.11251134938014798,1575158,5.0,5.0,10.0,7,0.11,0.11251134938014798,0.222511349380148,6
2,2,George Hamilton,22.0,0.11581212978440866,1621369,5.0,2.0,7.0,1,0.11,0.11581212978440866,0.22581212978440868,5
2,2,Lisa Rinna,20.0,0.11575933525156892,1620630,7.0,3.0,10.0,6,0.1,0.11575933525156892,0.21575933525156893,7
2,2,Stacy Keibler,29.0,0.11026336082971962,1543687,1.0,6.0,7.0,2,0.145,0.11026336082971962,0.2552633608297196,1
